2pos1fot2,81,92
2pos1fot3,79,89
2pos2fot1,90,96
2pos2fot2,91,92
2pos2fot3,93,94
2pos2fot4,91,95
2pos2fot5,96,95
2pos3fot2,107,132
2pos3fot3,118,142
2pos3fot4,114,135
2pos3fot5,112,134
2pos4fot1,128,168
2pos4fot2,127,169
2pos4fot3,136,164
2pos4fot4,128,172
2pos4fot5,132,169
2pos5fot1,112,163
2pos5fot2,110,168
2pos5fot3,113,164
2pos5fot4,116,168
2pos5fot5,111,161
2pos6fot1,105,187
2pos6fot2,103,179
2pos6fot3,102,180
2pos6fot4,101,183
2pos6fot5,104,175
2pos7fot1,127,206
2pos7fot2,126,206
2pos7fot3,124,208
2pos7fot4,123,210
2pos7fot5,129,202
pos1fot1,62,78
pos1fot2,63,76
pos1fot3,63,77
pos1fot4,65,82
pos1fot5,63,80
pos2fot1,98,110
pos2fot2,96,115
pos2fot3,100,112
pos2fot4,98,111
pos2fot5,99,113
pos3fot1,92,145
pos3fot2,89,138
pos3fot3,87,141
pos3fot4,63,102
pos3fot5,88,147
pos4fot1,74,154
pos4fot2,76,154
pos4fot3,76,151
pos4fot4,77,150
pos4fot5,74,159
pos5fot1,88,181
pos5fot2,89,182
pos5fot3,88,185
pos5fot4,88,185
pos5fot5,88,186